Class,v_SV/sigma_SV,z,R_vir,M_vir,f_b,N_HD/N,N_c,M_ctot,eps_III,M_c1,M_c2,q_c
,,,[pc],[Msun],,,,[Msun],,[Msun],[Msun],
A00,0.0,27.07,122.3,1.072E+06,0.133,0.20,1.55, 6445,0.0453, 5856, 975,0.166
A10,1.0,24.69,178.9,2.637E+06,0.129,0.35,1.60, 8729,0.0257, 7525,4072,0.541
A15,1.5,22.83,251.2,5.838E+06,0.126,0.25,3.25,13794,0.0188,10638,2597,0.244
A20,2.0,21.78,314.4,9.695E+06,0.123,0.10,5.20,19940,0.0167,14331,4221,0.295
A30,2.5,20.49,380.2,1.503E+07,0.122,0.00,4.60,22876,0.0125,16284,4701,0.289
A35,3.0,20.00,421.7,1.908E+07,0.121,0.05,4.65,20514,0.0089,14284,3567,0.250
H00,0.0,30.99,120.2,1.540E+06,0.124,0.00,1.00,11407,0.0598,11407,    ,
H10,1.0,29.08,147.9,2.491E+06,0.121,0.20,1.20,11043,0.0367,10149,4089,0.403
H15,1.5,26.97,218.8,6.610E+06,0.114,0.20,4.60,19929,0.0266,14374,1861,0.129
H20,2.0,25.92,269.2,1.031E+07,0.113,0.00,7.60,30962,0.0267,18326,5262,0.287
H25,2.5,23.20,389.0,2.345E+07,0.119,0.00,5.60,33337,0.0120,17958,6815,0.380
H30,3.0,22.14,457.1,3.345E+07,0.125,0.00,7.60,33322,0.0080,20148,7594,0.377
M00,0.0,28.41,101.4,7.240E+05,0.128,0.25,1.88, 4198,0.0453, 3670, 668,0.182
M10,1.0,25.22,177.8,2.808E+06,0.123,0.25,2.00,10694,0.0308, 8468,6448,0.761
M15,1.5,23.25,254.8,6.458E+06,0.122,0.38,4.25,15663,0.0199,10604,2937,0.277
M20,2.0,22.49,307.3,1.005E+07,0.120,0.13,4.88,20360,0.0170,16171,4291,0.265
M25,2.5,21.49,360.0,1.488E+07,0.119,0.00,6.00,24086,0.0136,16265,7174,0.441
M30,3.0,21.21,409.7,2.045E+07,0.114,0.13,5.00,30311,0.0130,21134,4765,0.225
L00,0.0,22.75,153.4,1.296E+06,0.144,0.29,1.57, 6998,0.0374, 6204,2508,0.404
L10,1.0,20.95,206.2,2.557E+06,0.140,0.57,1.43, 5852,0.0163, 5310,1621,0.305
L15,1.5,19.40,272.7,4.761E+06,0.139,0.14,1.14, 9172,0.0139, 8613,6579,0.764
L20,2.0,18.01,360.7,8.905E+06,0.136,0.14,3.86,14220,0.0118,10472,3332,0.318
L25,2.5,17.41,398.1,1.106E+07,0.127,0.00,2.29,16480,0.0118,15205,2265,0.149
L30,3.0,17.08,411.4,1.181E+07,0.125,0.00,2.14, 9285,0.0063, 7140,1085,0.152
D00,0.0,25.99,122.3,1.013E+06,0.140,    ,2.75, 4406,0.0310, 3555, 581,0.164
D10,1.0,23.78,172.1,2.181E+06,0.128,    ,1.00, 3947,0.0142, 3947,    ,
D15,1.5,24.30,213.8,4.373E+06,0.125,    ,2.80, 6384,0.0117, 5382, 597,0.111
D20,2.0,21.19,298.5,8.470E+06,0.136,    ,6.50,11563,0.0101, 8884, 706,0.080
D25,2.5,     ,     ,         ,     ,    ,    ,     ,      ,     ,    ,
D30,3.0,22.57,354.8,1.705E+07,0.109,    ,1.00, 7494,0.0040, 7494,    ,
